,value,end_time
0,9308,2021-01-31T08:00:00+0000
1,8218,2021-02-01T08:00:00+0000
2,7979,2021-02-02T08:00:00+0000
3,5644,2021-02-03T08:00:00+0000
4,2066,2021-02-04T08:00:00+0000
5,1718,2021-02-05T08:00:00+0000
6,1696,2021-02-06T08:00:00+0000
0,1094,2023-01-15T08:00:00+0000
1,991,2023-01-16T08:00:00+0000
2,998,2023-01-17T08:00:00+0000
3,859,2023-01-18T08:00:00+0000
4,746,2023-01-19T08:00:00+0000
5,729,2023-01-20T08:00:00+0000
6,768,2023-01-21T08:00:00+0000
