,impressions,date,reach
219,4086,2021-09-07,2398
220,3376,2021-09-08,2006
221,2862,2021-09-09,1556
222,2927,2021-09-10,1637
223,2915,2021-09-11,1628
224,2619,2021-09-12,1591
225,2317,2021-09-13,1541
226,2397,2021-09-14,1562
227,2422,2021-09-15,1562
228,1592,2021-09-16,992
229,1420,2021-09-17,872
230,1415,2021-09-18,860
231,1407,2021-09-19,855
232,1449,2021-09-20,867
233,1841,2021-09-21,936
234,2212,2021-09-22,1016
235,2374,2021-09-23,936
236,3145,2021-09-24,1328
237,3152,2021-09-25,1349
238,3196,2021-09-26,1370
239,3161,2021-09-27,1360
240,2569,2021-09-28,1236
241,2194,2021-09-29,1166
242,2319,2021-09-30,1147
243,1999,2021-10-01,813
244,2239,2021-10-02,909
245,2257,2021-10-03,917
246,2297,2021-10-04,915
247,2176,2021-10-05,909
248,2749,2021-10-06,1267
249,2670,2021-10-07,1358
250,2400,2021-10-08,1288
251,2247,2021-10-09,1189
252,2390,2021-10-10,1168
253,3017,2021-10-11,1341
254,3349,2021-10-12,1406
255,2800,2021-10-13,1194
256,2200,2021-10-14,1056
257,2308,2021-10-15,1085
258,2365,2021-10-16,1143
259,2204,2021-10-17,1150
260,1594,2021-10-18,951
261,2163,2021-10-19,1305
262,2258,2021-10-20,1362
263,2482,2021-10-21,1422
264,2056,2021-10-22,1247
265,1869,2021-10-23,1168
266,2516,2021-10-24,1418
267,2741,2021-10-25,1499
268,1900,2021-10-26,1096
269,3196,2021-10-27,2107
270,3750,2021-10-28,2491
271,3823,2021-10-29,2518
272,3841,2021-10-30,2511
273,3540,2021-10-31,2437
274,3757,2021-11-01,2484
275,4376,2021-11-02,2652
276,3586,2021-11-03,1860
277,3093,2021-11-04,1495
278,3044,2021-11-05,1493
279,3009,2021-11-06,1512
280,2642,2021-11-07,1347
281,2604,2021-11-08,1366
282,2072,2021-11-09,1242
283,1426,2021-11-10,974
284,1429,2021-11-11,936
285,1635,2021-11-12,1008
286,1689,2021-11-13,1029
287,2042,2021-11-14,1103
288,2366,2021-11-15,1079
289,3085,2021-11-16,1138
290,3112,2021-11-17,1136
291,3055,2021-11-18,1029
292,2740,2021-11-19,903
293,2676,2021-11-20,889
294,2313,2021-11-21,817
295,1886,2021-11-22,703
296,2010,2021-11-23,1358
297,2047,2021-11-24,1426
298,2241,2021-11-25,1569
299,2385,2021-11-26,1610
300,2382,2021-11-27,1610
301,2447,2021-11-28,1621
302,2116,2021-11-29,1418
303,1334,2021-11-30,747
304,2437,2021-12-01,1516
305,2261,2021-12-02,1554
306,2388,2021-12-03,1746
307,2498,2021-12-04,1787
308,2813,2021-12-05,1941
309,2994,2021-12-06,2003
310,2993,2021-12-07,2033
311,1786,2021-12-08,1164
