,impressions,date,reach,comments,likes
172,1397,2021-07-22,714,0,0
173,1349,2021-07-23,700,0,0
174,1368,2021-07-24,700,0,0
175,1208,2021-07-25,733,0,0
176,3187,2021-07-26,2001,0,0
177,3622,2021-07-27,2099,0,0
178,4077,2021-07-28,2255,0,0
179,4269,2021-07-29,2344,0,0
180,4325,2021-07-30,2373,0,0
181,5384,2021-07-31,2645,0,0
182,5633,2021-08-01,2707,0,0
183,3363,2021-08-02,1993,0,0
184,2610,2021-08-03,1704,0,0
185,2360,2021-08-04,1709,0,0
186,2372,2021-08-05,1775,0,0
187,2954,2021-08-06,2009,0,0
188,2376,2021-08-07,1751,0,0
189,2178,2021-08-08,1668,0,0
190,2655,2021-08-09,1850,0,0
191,2855,2021-08-10,1923,0,0
192,2963,2021-08-11,2001,0,0
193,3012,2021-08-12,1988,0,0
194,2451,2021-08-13,1772,0,0
195,2021,2021-08-14,1476,0,0
196,1988,2021-08-15,1478,0,0
197,1430,2021-08-16,1041,0,0
198,1267,2021-08-17,864,0,0
199,1020,2021-08-18,556,0,0
200,1475,2021-08-19,987,0,0
201,1673,2021-08-20,1161,0,0
202,1689,2021-08-21,1187,0,0
203,4328,2021-08-22,2667,0,0
204,4887,2021-08-23,2925,0,0
205,6308,2021-08-24,3493,0,0
206,6461,2021-08-25,3538,0,0
207,6626,2021-08-26,3493,0,0
208,7647,2021-08-27,3572,0,0
209,7858,2021-08-28,3607,0,0
210,5251,2021-08-29,2696,0,0
211,5096,2021-08-30,2497,0,0
212,5222,2021-08-31,2514,0,0
213,5728,2021-09-01,2780,0,0
214,6637,2021-09-02,3477,0,0
215,5656,2021-09-03,3187,0,0
216,5454,2021-09-04,3131,0,0
217,5682,2021-09-05,3131,0,0
218,5493,2021-09-06,3103,0,0
219,4086,2021-09-07,2398,0,0
220,3376,2021-09-08,2006,0,0
221,2862,2021-09-09,1556,0,0
222,2927,2021-09-10,1637,0,0
223,2915,2021-09-11,1628,0,0
224,2619,2021-09-12,1591,0,0
225,2317,2021-09-13,1541,0,0
226,2397,2021-09-14,1562,0,0
227,2422,2021-09-15,1562,0,0
228,1592,2021-09-16,992,0,0
229,1420,2021-09-17,872,0,0
230,1415,2021-09-18,860,0,0
231,1407,2021-09-19,855,0,0
232,1449,2021-09-20,867,0,0
233,1841,2021-09-21,936,0,0
234,2212,2021-09-22,1016,0,0
235,2374,2021-09-23,936,0,0
236,3145,2021-09-24,1328,0,0
237,3152,2021-09-25,1349,0,0
238,3196,2021-09-26,1370,0,0
239,3161,2021-09-27,1360,0,0
240,2569,2021-09-28,1236,0,0
241,2194,2021-09-29,1166,0,0
242,2319,2021-09-30,1147,0,0
243,1999,2021-10-01,813,0,0
244,2239,2021-10-02,909,0,0
245,2257,2021-10-03,917,0,0
246,2297,2021-10-04,915,0,0
